title;artist;feeling
Epic;Faith No More;Heavy
Brilliant Day Eine Kleine Mix;Four Stones;Heavy
The True One;Gene Clark;Heavy
Cuckoo Cocoon;Genesis;Heavy
Hey Jealousy;Gin Blossoms;Heavy
Stella Was A Diver And She Was Always Down;Interpol;Heavy
Somebody To Love;Jefferson Airplane;Heavy
Alf Leyla Wa Leyla;Jesse Manno;Heavy
Mirror People;Love And Rockets;Heavy
What People Are Made Of;Modest Mouse;Heavy
Blue Monday;New Order;Heavy
Head Like A Hole;Nine Inch Nails;Heavy
Aneurysm;Nirvana;Heavy
Dont Know Why;Norah Jones;Heavy
Mr. Pitiful;Otis Redding;Heavy
Dry;Pj Harvey;Heavy
Love My Way;Psychedelic Furs;Heavy
Karma Police;Radiohead;Heavy
Possession;Sarah Mclachlan;Heavy
Prelude;Saros;Heavy
Soul And Fire;Sebadoh;Heavy
Hollow Earth;Shiva In Exile;Heavy
How Soon Is Now;Smiths;Heavy
Gin And Juice;Snoop Doggy Dogg;Heavy
I Wanna Be Adored;Stone Roses;Heavy
130;Strojovna 07;Heavy
The Concept;Teenage Fanclub;Heavy
Psychedelic Baby;Very Large Array;Heavy
Gary Gilmores Eyes;Adverts;Heavy Beat
Mr. Clarinet;Birthday Party;Heavy Beat
Six Pack;Black Flag;Heavy Beat
Had To Cry Today;Blind Faith;Heavy Beat
Time Is Tight;Booker T. And The Mgs;Heavy Beat
Genie In A Bottle;Christina Aguilera;Heavy Beat
Tubthumping;Chumbawamba;Heavy Beat
Money For Nothing;Dire Straits;Heavy Beat
China Grove;Doobie Brothers;Heavy Beat
Caravan;Duke Ellington And His Orchestra;Heavy Beat
Heartbreak Hotel;Elvis Presley;Heavy Beat
Epic;Faith No More;Heavy Beat
Hey Jealousy;Gin Blossoms;Heavy Beat
Gos;Go;Heavy Beat
Somebody To Love;Jefferson Airplane;Heavy Beat
Gold Digger;Kanye West;Heavy Beat
My Guy;Mary Wells;Heavy Beat
Transcend Fate Of A Dj;Memories Of Tomorrow;Heavy Beat
What People Are Made Of;Modest Mouse;Heavy Beat
Country Grammar;Nelly;Heavy Beat
Head Like A Hole;Nine Inch Nails;Heavy Beat
Dry;Pj Harvey;Heavy Beat
Love Is The Drug;Roxy Music;Heavy Beat
Gin And Juice;Snoop Doggy Dogg;Heavy Beat
Nothings Gonna Stop Us Now;Starship;Heavy Beat
130;Strojovna 07;Heavy Beat
Bang The Drum All Day;Todd Rundgren;Heavy Beat
Country House;Blur;High Pitched
Lovey Dovey Kind Of Love;Brenton Wood;High Pitched
Tubthumping;Chumbawamba;High Pitched
Surf City;Jan And Dean;High Pitched
Razor Love;Neil Young;High Pitched
Possession;Sarah Mclachlan;High Pitched
You Make Me Feel Mighty Real;Sylvester;High Pitched
Dance Floor;Zapp;High Pitched
Gary Gilmores Eyes;Adverts;Indifferent
Sweat Machine;Aerobic Jonquil;Indifferent
Mr. Clarinet;Birthday Party;Indifferent
Six Pack;Black Flag;Indifferent
Had To Cry Today;Blind Faith;Indifferent
Country House;Blur;Indifferent
Time Is Tight;Booker T. And The Mgs;Indifferent
Take The Power Back;Bots;Indifferent
Comedown;Bush;Indifferent
Good Times Roll;Cars;Indifferent
Travelin Band;Creedence Clearwater Revival;Indifferent
Money For Nothing;Dire Straits;Indifferent
China Grove;Doobie Brothers;Indifferent
Nuthin But A G Thang;Dr. Dre;Indifferent
Caravan;Duke Ellington And His Orchestra;Indifferent
Less Than Zero;Elvis Costello;Indifferent
Epic;Faith No More;Indifferent
Gos;Go;Indifferent
Stella Was A Diver And She Was Always Down;Interpol;Indifferent
Rotgut;Jackalopes;Indifferent
Surf City;Jan And Dean;Indifferent
Somebody To Love;Jefferson Airplane;Indifferent
Alf Leyla Wa Leyla;Jesse Manno;Indifferent
Gold Digger;Kanye West;Indifferent
Spacelab;Kraftwerk;Indifferent
Mirror People;Love And Rockets;Indifferent
Transcend Fate Of A Dj;Memories Of Tomorrow;Indifferent
What People Are Made Of;Modest Mouse;Indifferent
Country Grammar;Nelly;Indifferent
Blue Monday;New Order;Indifferent
Head Like A Hole;Nine Inch Nails;Indifferent
Aneurysm;Nirvana;Indifferent
Wave Of Mutilation;Pixies;Indifferent
Dry;Pj Harvey;Indifferent
Super Freak;Rick James;Indifferent
Sweet Home Chicago;Robert Johnson;Indifferent
Little By Little;Rolling Stones;Indifferent
Prelude;Saros;Indifferent
Hollow Earth;Shiva In Exile;Indifferent
How Soon Is Now;Smiths;Indifferent
Gin And Juice;Snoop Doggy Dogg;Indifferent
A Journey To Reedham (7Am Mix);Squarepusher;Indifferent
130;Strojovna 07;Indifferent
Bang The Drum All Day;Todd Rundgren;Indifferent
Buddy Holly;Weezer;Indifferent
God Bless The Child;Billie Holiday;Jazz
Lester Leaps In;Count Basie;Jazz
Brazil;Django Reinhardt;Jazz
Caravan;Duke Ellington And His Orchestra;Jazz
Fly Me To The Moon;Frank Sinatra;Jazz
Dont Know Why;Norah Jones;Jazz
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Jazz
Country House;Blur;Light
Time Is Tight;Booker T. And The Mgs;Light
Lovey Dovey Kind Of Love;Brenton Wood;Light
These Foolish Things;Chet Baker;Light
Genie In A Bottle;Christina Aguilera;Light
Lester Leaps In;Count Basie;Light
Money For Nothing;Dire Straits;Light
Brazil;Django Reinhardt;Light
Baby Britain;Elliott Smith;Light
Gos;Go;Light
Surf City;Jan And Dean;Light
My Guy;Mary Wells;Light
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Light
You Make Me Feel Mighty Real;Sylvester;Light
Bang The Drum All Day;Todd Rundgren;Light
All Day Music;War;Light
Buddy Holly;Weezer;Light
Dance Floor;Zapp;Light
Melissa;Allman Brothers Band;Light Beat
God Bless The Child;Billie Holiday;Light Beat
Lovey Dovey Kind Of Love;Brenton Wood;Light Beat
Devil And The Woman;C Layne;Light Beat
Good Times Roll;Cars;Light Beat
Guinnevere;Crosby Stills And Nash;Light Beat
Brazil;Django Reinhardt;Light Beat
Tequila Sunrise;Eagles;Light Beat
Never Leave;Etherine;Light Beat
Brilliant Day Eine Kleine Mix;Four Stones;Light Beat
Cuckoo Cocoon;Genesis;Light Beat
Surf City;Jan And Dean;Light Beat
Imagine;John Lennon;Light Beat
Fruitless;Lisa Debenedictis;Light Beat
Please Mr. Postman;Marvelettes;Light Beat
Razor Love;Neil Young;Light Beat
Simple Kind Of Life;No Doubt;Light Beat
Dont Know Why;Norah Jones;Light Beat
Possession;Sarah Mclachlan;Light Beat
Prelude;Saros;Light Beat
Set Fire To The City;Shane Jackman;Light Beat
New Slang;Shins;Light Beat
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Light Beat
The Concept;Teenage Fanclub;Light Beat
Country House;Blur;Lighthearted
Time Is Tight;Booker T. And The Mgs;Lighthearted
Lovey Dovey Kind Of Love;Brenton Wood;Lighthearted
El Cuarto De Tula;Buena Vista Social Club;Lighthearted
These Foolish Things;Chet Baker;Lighthearted
Lester Leaps In;Count Basie;Lighthearted
Travelin Band;Creedence Clearwater Revival;Lighthearted
Brazil;Django Reinhardt;Lighthearted
China Grove;Doobie Brothers;Lighthearted
Fly Me To The Moon;Frank Sinatra;Lighthearted
Gos;Go;Lighthearted
Surf City;Jan And Dean;Lighthearted
My Guy;Mary Wells;Lighthearted
Razor Love;Neil Young;Lighthearted
Country Grammar;Nelly;Lighthearted
Super Freak;Rick James;Lighthearted
Little By Little;Rolling Stones;Lighthearted
Cumbanchero;Rubn Gonzlez;Lighthearted
A Journey To Reedham (7Am Mix);Squarepusher;Lighthearted
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Lighthearted
Bang The Drum All Day;Todd Rundgren;Lighthearted
All Day Music;War;Lighthearted
Buddy Holly;Weezer;Lighthearted
Dance Floor;Zapp;Lighthearted
Sweat Machine;Aerobic Jonquil;Like
No Excuses;Alice In Chains;Like
Melissa;Allman Brothers Band;Like
Lovey Dovey Kind Of Love;Brenton Wood;Like
El Cuarto De Tula;Buena Vista Social Club;Like
Good Times Roll;Cars;Like
Marsh Of Rhuddlan;Cheryl Ann Fulton;Like
These Foolish Things;Chet Baker;Like
Travelin Band;Creedence Clearwater Revival;Like
Here With Me;Dido;Like
Brazil;Django Reinhardt;Like
Caravan;Duke Ellington And His Orchestra;Like
Tequila Sunrise;Eagles;Like
Baby Britain;Elliott Smith;Like
Never Leave;Etherine;Like
Lexicon Devil;Germs;Like
Gos;Go;Like
Moanin At Midnight;Howlin Wolf;Like
Surf City;Jan And Dean;Like
Somebody To Love;Jefferson Airplane;Like
Alf Leyla Wa Leyla;Jesse Manno;Like
Imagine;John Lennon;Like
Fruitless;Lisa Debenedictis;Like
Please Mr. Postman;Marvelettes;Like
My Guy;Mary Wells;Like
Blue Monday;New Order;Like
Dont Know Why;Norah Jones;Like
Mr. Pitiful;Otis Redding;Like
I Just Want To Have Something To Do;Ramones;Like
Super Freak;Rick James;Like
Love Is The Drug;Roxy Music;Like
Cumbanchero;Rubn Gonzlez;Like
Cigarettes And Chocolate Milk;Rufus Wainwright;Like
Possession;Sarah Mclachlan;Like
How Soon Is Now;Smiths;Like
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Like
You Make Me Feel Mighty Real;Sylvester;Like
All Day Music;War;Like
Buddy Holly;Weezer;Like
Sweat Machine;Aerobic Jonquil;Low Energy
Melissa;Allman Brothers Band;Low Energy
God Bless The Child;Billie Holiday;Low Energy
Devil And The Woman;C Layne;Low Energy
These Foolish Things;Chet Baker;Low Energy
Guinnevere;Crosby Stills And Nash;Low Energy
Tequila Sunrise;Eagles;Low Energy
Less Than Zero;Elvis Costello;Low Energy
Heartbreak Hotel;Elvis Presley;Low Energy
Never Leave;Etherine;Low Energy
Brilliant Day Eine Kleine Mix;Four Stones;Low Energy
The True One;Gene Clark;Low Energy
Cuckoo Cocoon;Genesis;Low Energy
Imagine;John Lennon;Low Energy
I M Alive;Kenji Williams;Low Energy
Fruitless;Lisa Debenedictis;Low Energy
Razor Love;Neil Young;Low Energy
Dont Know Why;Norah Jones;Low Energy
Love My Way;Psychedelic Furs;Low Energy
Sweet Home Chicago;Robert Johnson;Low Energy
Prelude;Saros;Low Energy
Soul And Fire;Sebadoh;Low Energy
Set Fire To The City;Shane Jackman;Low Energy
New Slang;Shins;Low Energy
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Low Energy
All Day Music;War;Low Energy
Six Pack;Black Flag;Major
Country House;Blur;Major
Time Is Tight;Booker T. And The Mgs;Major
Lovey Dovey Kind Of Love;Brenton Wood;Major
Tubthumping;Chumbawamba;Major
Travelin Band;Creedence Clearwater Revival;Major
Baby Britain;Elliott Smith;Major
Fly Me To The Moon;Frank Sinatra;Major
Lexicon Devil;Germs;Major
Hey Jealousy;Gin Blossoms;Major
Surf City;Jan And Dean;Major
Razor Love;Neil Young;Major
Mr. Pitiful;Otis Redding;Major
Gin And Juice;Snoop Doggy Dogg;Major
A Journey To Reedham (7Am Mix);Squarepusher;Major
Nothings Gonna Stop Us Now;Starship;Major
I Wanna Be Adored;Stone Roses;Major
Bang The Drum All Day;Todd Rundgren;Major
Dance Floor;Zapp;Major
Gary Gilmores Eyes;Adverts;Male Lead Vocals
No Excuses;Alice In Chains;Male Lead Vocals
Melissa;Allman Brothers Band;Male Lead Vocals
Mandy;Barry Manilow;Male Lead Vocals
Mr. Clarinet;Birthday Party;Male Lead Vocals
Six Pack;Black Flag;Male Lead Vocals
Had To Cry Today;Blind Faith;Male Lead Vocals
Country House;Blur;Male Lead Vocals
Take The Power Back;Bots;Male Lead Vocals
Lovey Dovey Kind Of Love;Brenton Wood;Male Lead Vocals
El Cuarto De Tula;Buena Vista Social Club;Male Lead Vocals
Comedown;Bush;Male Lead Vocals
Devil And The Woman;C Layne;Male Lead Vocals
Good Times Roll;Cars;Male Lead Vocals
Tubthumping;Chumbawamba;Male Lead Vocals
Travelin Band;Creedence Clearwater Revival;Male Lead Vocals
Guinnevere;Crosby Stills And Nash;Male Lead Vocals
Money For Nothing;Dire Straits;Male Lead Vocals
China Grove;Doobie Brothers;Male Lead Vocals
Nuthin But A G Thang;Dr. Dre;Male Lead Vocals
Tequila Sunrise;Eagles;Male Lead Vocals
Baby Britain;Elliott Smith;Male Lead Vocals
Less Than Zero;Elvis Costello;Male Lead Vocals
Heartbreak Hotel;Elvis Presley;Male Lead Vocals
Epic;Faith No More;Male Lead Vocals
Fly Me To The Moon;Frank Sinatra;Male Lead Vocals
The True One;Gene Clark;Male Lead Vocals
Cuckoo Cocoon;Genesis;Male Lead Vocals
Lexicon Devil;Germs;Male Lead Vocals
Hey Jealousy;Gin Blossoms;Male Lead Vocals
Moanin At Midnight;Howlin Wolf;Male Lead Vocals
Stella Was A Diver And She Was Always Down;Interpol;Male Lead Vocals
Rotgut;Jackalopes;Male Lead Vocals
Surf City;Jan And Dean;Male Lead Vocals
Imagine;John Lennon;Male Lead Vocals
Love Will Tear Us Apart;Joy Division;Male Lead Vocals
Gold Digger;Kanye West;Male Lead Vocals
Mirror People;Love And Rockets;Male Lead Vocals
What People Are Made Of;Modest Mouse;Male Lead Vocals
Razor Love;Neil Young;Male Lead Vocals
Country Grammar;Nelly;Male Lead Vocals
Blue Monday;New Order;Male Lead Vocals
Head Like A Hole;Nine Inch Nails;Male Lead Vocals
Mr. Pitiful;Otis Redding;Male Lead Vocals
Wave Of Mutilation;Pixies;Male Lead Vocals
Love My Way;Psychedelic Furs;Male Lead Vocals
Karma Police;Radiohead;Male Lead Vocals
I Just Want To Have Something To Do;Ramones;Male Lead Vocals
Super Freak;Rick James;Male Lead Vocals
Little By Little;Rolling Stones;Male Lead Vocals
Love Is The Drug;Roxy Music;Male Lead Vocals
Cigarettes And Chocolate Milk;Rufus Wainwright;Male Lead Vocals
Soul And Fire;Sebadoh;Male Lead Vocals
Set Fire To The City;Shane Jackman;Male Lead Vocals
New Slang;Shins;Male Lead Vocals
How Soon Is Now;Smiths;Male Lead Vocals
Gin And Juice;Snoop Doggy Dogg;Male Lead Vocals
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Male Lead Vocals
Nothings Gonna Stop Us Now;Starship;Male Lead Vocals
I Wanna Be Adored;Stone Roses;Male Lead Vocals
You Make Me Feel Mighty Real;Sylvester;Male Lead Vocals
The Concept;Teenage Fanclub;Male Lead Vocals
Bang The Drum All Day;Todd Rundgren;Male Lead Vocals
Psychedelic Baby;Very Large Array;Male Lead Vocals
All Day Music;War;Male Lead Vocals
Buddy Holly;Weezer;Male Lead Vocals
Dance Floor;Zapp;Male Lead Vocals
Melissa;Allman Brothers Band;Mellow
Lovey Dovey Kind Of Love;Brenton Wood;Mellow
Devil And The Woman;C Layne;Mellow
These Foolish Things;Chet Baker;Mellow
Lester Leaps In;Count Basie;Mellow
Guinnevere;Crosby Stills And Nash;Mellow
Brazil;Django Reinhardt;Mellow
Cuckoo Cocoon;Genesis;Mellow
Surf City;Jan And Dean;Mellow
Imagine;John Lennon;Mellow
I M Alive;Kenji Williams;Mellow
Spacelab;Kraftwerk;Mellow
Razor Love;Neil Young;Mellow
Dont Know Why;Norah Jones;Mellow
Karma Police;Radiohead;Mellow
Cigarettes And Chocolate Milk;Rufus Wainwright;Mellow
New Slang;Shins;Mellow
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Mellow
All Day Music;War;Mellow
Gary Gilmores Eyes;Adverts;Metal
No Excuses;Alice In Chains;Metal
Epic;Faith No More;Metal
Rotgut;Jackalopes;Metal
Mirror People;Love And Rockets;Metal
Head Like A Hole;Nine Inch Nails;Metal
Aneurysm;Nirvana;Metal
God Bless The Child;Billie Holiday;Minor
Epic;Faith No More;Minor
Brilliant Day Eine Kleine Mix;Four Stones;Minor
Love Is The Drug;Roxy Music;Minor
Cumbanchero;Rubn Gonzlez;Minor
New Slang;Shins;Minor
Sweat Machine;Aerobic Jonquil;Morose
Mandy;Barry Manilow;Morose
Mr. Clarinet;Birthday Party;Morose
Six Pack;Black Flag;Morose
Had To Cry Today;Blind Faith;Morose
Take The Power Back;Bots;Morose
Comedown;Bush;Morose
Devil And The Woman;C Layne;Morose
Guinnevere;Crosby Stills And Nash;Morose
Nuthin But A G Thang;Dr. Dre;Morose
Heartbreak Hotel;Elvis Presley;Morose
Never Leave;Etherine;Morose
Epic;Faith No More;Morose
Brilliant Day Eine Kleine Mix;Four Stones;Morose
Hey Jealousy;Gin Blossoms;Morose
Angels;Human Response;Morose
Stella Was A Diver And She Was Always Down;Interpol;Morose
Love Will Tear Us Apart;Joy Division;Morose
I M Alive;Kenji Williams;Morose
Fruitless;Lisa Debenedictis;Morose
Mirror People;Love And Rockets;Morose
What People Are Made Of;Modest Mouse;Morose
Razor Love;Neil Young;Morose
Head Like A Hole;Nine Inch Nails;Morose
Aneurysm;Nirvana;Morose
Dont Know Why;Norah Jones;Morose
Dry;Pj Harvey;Morose
Love My Way;Psychedelic Furs;Morose
Karma Police;Radiohead;Morose
Prelude;Saros;Morose
Soul And Fire;Sebadoh;Morose
Set Fire To The City;Shane Jackman;Morose
New Slang;Shins;Morose
Hollow Earth;Shiva In Exile;Morose
How Soon Is Now;Smiths;Morose
Gin And Juice;Snoop Doggy Dogg;Morose
I Wanna Be Adored;Stone Roses;Morose
130;Strojovna 07;Morose
The Concept;Teenage Fanclub;Morose
Psychedelic Baby;Very Large Array;Morose
Gary Gilmores Eyes;Adverts;Negative
Sweat Machine;Aerobic Jonquil;Negative
No Excuses;Alice In Chains;Negative
Mr. Clarinet;Birthday Party;Negative
Six Pack;Black Flag;Negative
Take The Power Back;Bots;Negative
Comedown;Bush;Negative
Devil And The Woman;C Layne;Negative
Tequila Sunrise;Eagles;Negative
Heartbreak Hotel;Elvis Presley;Negative
Epic;Faith No More;Negative
The True One;Gene Clark;Negative
Hey Jealousy;Gin Blossoms;Negative
Stella Was A Diver And She Was Always Down;Interpol;Negative
Rotgut;Jackalopes;Negative
Love Will Tear Us Apart;Joy Division;Negative
Fruitless;Lisa Debenedictis;Negative
Mirror People;Love And Rockets;Negative
What People Are Made Of;Modest Mouse;Negative
Head Like A Hole;Nine Inch Nails;Negative
Aneurysm;Nirvana;Negative
Dry;Pj Harvey;Negative
Love My Way;Psychedelic Furs;Negative
Karma Police;Radiohead;Negative
Prelude;Saros;Negative
Hollow Earth;Shiva In Exile;Negative
How Soon Is Now;Smiths;Negative
I Wanna Be Adored;Stone Roses;Negative
130;Strojovna 07;Negative
Take The Power Back;Bots;Negative Feelings
Comedown;Bush;Negative Feelings
Devil And The Woman;C Layne;Negative Feelings
Heartbreak Hotel;Elvis Presley;Negative Feelings
Epic;Faith No More;Negative Feelings
Brilliant Day Eine Kleine Mix;Four Stones;Negative Feelings
The True One;Gene Clark;Negative Feelings
Hey Jealousy;Gin Blossoms;Negative Feelings
Stella Was A Diver And She Was Always Down;Interpol;Negative Feelings
Rotgut;Jackalopes;Negative Feelings
Mirror People;Love And Rockets;Negative Feelings
Head Like A Hole;Nine Inch Nails;Negative Feelings
Aneurysm;Nirvana;Negative Feelings
Dry;Pj Harvey;Negative Feelings
Karma Police;Radiohead;Negative Feelings
Prelude;Saros;Negative Feelings
Soul And Fire;Sebadoh;Negative Feelings
Sweat Machine;Aerobic Jonquil;Normal
Melissa;Allman Brothers Band;Normal
Mandy;Barry Manilow;Normal
God Bless The Child;Billie Holiday;Normal
Six Pack;Black Flag;Normal
Country House;Blur;Normal
Time Is Tight;Booker T. And The Mgs;Normal
Lovey Dovey Kind Of Love;Brenton Wood;Normal
El Cuarto De Tula;Buena Vista Social Club;Normal
Good Times Roll;Cars;Normal
Marsh Of Rhuddlan;Cheryl Ann Fulton;Normal
These Foolish Things;Chet Baker;Normal
Genie In A Bottle;Christina Aguilera;Normal
Tubthumping;Chumbawamba;Normal
Lester Leaps In;Count Basie;Normal
Travelin Band;Creedence Clearwater Revival;Normal
Guinnevere;Crosby Stills And Nash;Normal
Here With Me;Dido;Normal
China Grove;Doobie Brothers;Normal
Nuthin But A G Thang;Dr. Dre;Normal
Caravan;Duke Ellington And His Orchestra;Normal
Baby Britain;Elliott Smith;Normal
Less Than Zero;Elvis Costello;Normal
Heartbreak Hotel;Elvis Presley;Normal
Never Leave;Etherine;Normal
Brilliant Day Eine Kleine Mix;Four Stones;Normal
Fly Me To The Moon;Frank Sinatra;Normal
The True One;Gene Clark;Normal
Lexicon Devil;Germs;Normal
Hey Jealousy;Gin Blossoms;Normal
Gos;Go;Normal
Rotgut;Jackalopes;Normal
Surf City;Jan And Dean;Normal
Somebody To Love;Jefferson Airplane;Normal
Fruitless;Lisa Debenedictis;Normal
What People Are Made Of;Modest Mouse;Normal
Razor Love;Neil Young;Normal
Aneurysm;Nirvana;Normal
Dont Know Why;Norah Jones;Normal
Mr. Pitiful;Otis Redding;Normal
Love My Way;Psychedelic Furs;Normal
I Just Want To Have Something To Do;Ramones;Normal
Sweet Home Chicago;Robert Johnson;Normal
Little By Little;Rolling Stones;Normal
Cumbanchero;Rubn Gonzlez;Normal
Cigarettes And Chocolate Milk;Rufus Wainwright;Normal
Possession;Sarah Mclachlan;Normal
Prelude;Saros;Normal
Soul And Fire;Sebadoh;Normal
Set Fire To The City;Shane Jackman;Normal
New Slang;Shins;Normal
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Normal
Nothings Gonna Stop Us Now;Starship;Normal
I Wanna Be Adored;Stone Roses;Normal
You Make Me Feel Mighty Real;Sylvester;Normal
The Concept;Teenage Fanclub;Normal
Bang The Drum All Day;Todd Rundgren;Normal
Psychedelic Baby;Very Large Array;Normal
Buddy Holly;Weezer;Normal
Dance Floor;Zapp;Normal
Sweat Machine;Aerobic Jonquil;Not Angry - Agressive
Melissa;Allman Brothers Band;Not Angry - Agressive
Mandy;Barry Manilow;Not Angry - Agressive
God Bless The Child;Billie Holiday;Not Angry - Agressive
Country House;Blur;Not Angry - Agressive
Time Is Tight;Booker T. And The Mgs;Not Angry - Agressive
Lovey Dovey Kind Of Love;Brenton Wood;Not Angry - Agressive
El Cuarto De Tula;Buena Vista Social Club;Not Angry - Agressive
Devil And The Woman;C Layne;Not Angry - Agressive
Good Times Roll;Cars;Not Angry - Agressive
Marsh Of Rhuddlan;Cheryl Ann Fulton;Not Angry - Agressive
These Foolish Things;Chet Baker;Not Angry - Agressive
Genie In A Bottle;Christina Aguilera;Not Angry - Agressive
Tubthumping;Chumbawamba;Not Angry - Agressive
Lester Leaps In;Count Basie;Not Angry - Agressive
Guinnevere;Crosby Stills And Nash;Not Angry - Agressive
Here With Me;Dido;Not Angry - Agressive
Brazil;Django Reinhardt;Not Angry - Agressive
Caravan;Duke Ellington And His Orchestra;Not Angry - Agressive
Tequila Sunrise;Eagles;Not Angry - Agressive
Baby Britain;Elliott Smith;Not Angry - Agressive
Heartbreak Hotel;Elvis Presley;Not Angry - Agressive
Never Leave;Etherine;Not Angry - Agressive
Brilliant Day Eine Kleine Mix;Four Stones;Not Angry - Agressive
Fly Me To The Moon;Frank Sinatra;Not Angry - Agressive
The True One;Gene Clark;Not Angry - Agressive
Cuckoo Cocoon;Genesis;Not Angry - Agressive
Gos;Go;Not Angry - Agressive
Stella Was A Diver And She Was Always Down;Interpol;Not Angry - Agressive
Surf City;Jan And Dean;Not Angry - Agressive
Imagine;John Lennon;Not Angry - Agressive
Love Will Tear Us Apart;Joy Division;Not Angry - Agressive
I M Alive;Kenji Williams;Not Angry - Agressive
Spacelab;Kraftwerk;Not Angry - Agressive
Fruitless;Lisa Debenedictis;Not Angry - Agressive
Please Mr. Postman;Marvelettes;Not Angry - Agressive
My Guy;Mary Wells;Not Angry - Agressive
Transcend Fate Of A Dj;Memories Of Tomorrow;Not Angry - Agressive
Razor Love;Neil Young;Not Angry - Agressive
Blue Monday;New Order;Not Angry - Agressive
Simple Kind Of Life;No Doubt;Not Angry - Agressive
Dont Know Why;Norah Jones;Not Angry - Agressive
Mr. Pitiful;Otis Redding;Not Angry - Agressive
Wave Of Mutilation;Pixies;Not Angry - Agressive
Super Freak;Rick James;Not Angry - Agressive
Sweet Home Chicago;Robert Johnson;Not Angry - Agressive
Little By Little;Rolling Stones;Not Angry - Agressive
Love Is The Drug;Roxy Music;Not Angry - Agressive
Cumbanchero;Rubn Gonzlez;Not Angry - Agressive
Cigarettes And Chocolate Milk;Rufus Wainwright;Not Angry - Agressive
Possession;Sarah Mclachlan;Not Angry - Agressive
Soul And Fire;Sebadoh;Not Angry - Agressive
Set Fire To The City;Shane Jackman;Not Angry - Agressive
New Slang;Shins;Not Angry - Agressive
Hollow Earth;Shiva In Exile;Not Angry - Agressive
A Journey To Reedham (7Am Mix);Squarepusher;Not Angry - Agressive
Corcovado Quiet Nights Of Quiet Stars;Stan Getz;Not Angry - Agressive
Nothings Gonna Stop Us Now;Starship;Not Angry - Agressive
I Wanna Be Adored;Stone Roses;Not Angry - Agressive
130;Strojovna 07;Not Angry - Agressive
You Make Me Feel Mighty Real;Sylvester;Not Angry - Agressive
The Concept;Teenage Fanclub;Not Angry - Agressive
All Day Music;War;Not Angry - Agressive
Dance Floor;Zapp;Not Angry - Agressive
Gary Gilmores Eyes;Adverts;Not Calming
Mr. Clarinet;Birthday Party;Not Calming
Six Pack;Black Flag;Not Calming
Comedown;Bush;Not Calming
Tubthumping;Chumbawamba;Not Calming
Travelin Band;Creedence Clearwater Revival;Not Calming
Money For Nothing;Dire Straits;Not Calming
China Grove;Doobie Brothers;Not Calming
Caravan;Duke Ellington And His Orchestra;Not Calming
Epic;Faith No More;Not Calming
Hey Jealousy;Gin Blossoms;Not Calming
Gos;Go;Not Calming
Stella Was A Diver And She Was Always Down;Interpol;Not Calming
Rotgut;Jackalopes;Not Calming
Somebody To Love;Jefferson Airplane;Not Calming
Mirror People;Love And Rockets;Not Calming
What People Are Made Of;Modest Mouse;Not Calming
Country Grammar;Nelly;Not Calming
Head Like A Hole;Nine Inch Nails;Not Calming
Aneurysm;Nirvana;Not Calming
Dry;Pj Harvey;Not Calming
I Just Want To Have Something To Do;Ramones;Not Calming
Super Freak;Rick James;Not Calming
Love Is The Drug;Roxy Music;Not Calming
Cumbanchero;Rubn Gonzlez;Not Calming
A Journey To Reedham (7Am Mix);Squarepusher;Not Calming
Nothings Gonna Stop Us Now;Starship;Not Calming
You Make Me Feel Mighty Real;Sylvester;Not Calming
Bang The Drum All Day;Todd Rundgren;Not Calming
Dance Floor;Zapp;Not Calming
Gary Gilmores Eyes;Adverts;Not Happy
Sweat Machine;Aerobic Jonquil;Not Happy
Mr. Clarinet;Birthday Party;Not Happy
Six Pack;Black Flag;Not Happy
Had To Cry Today;Blind Faith;Not Happy
Comedown;Bush;Not Happy
Devil And The Woman;C Layne;Not Happy
Guinnevere;Crosby Stills And Nash;Not Happy
Tequila Sunrise;Eagles;Not Happy
Never Leave;Etherine;Not Happy
Epic;Faith No More;Not Happy
Brilliant Day Eine Kleine Mix;Four Stones;Not Happy
The True One;Gene Clark;Not Happy
Hey Jealousy;Gin Blossoms;Not Happy
Moanin At Midnight;Howlin Wolf;Not Happy
Stella Was A Diver And She Was Always Down;Interpol;Not Happy
I M Alive;Kenji Williams;Not Happy
Fruitless;Lisa Debenedictis;Not Happy
Mirror People;Love And Rockets;Not Happy
Please Mr. Postman;Marvelettes;Not Happy
Head Like A Hole;Nine Inch Nails;Not Happy
Aneurysm;Nirvana;Not Happy
Dry;Pj Harvey;Not Happy
Love My Way;Psychedelic Furs;Not Happy
Karma Police;Radiohead;Not Happy
Cigarettes And Chocolate Milk;Rufus Wainwright;Not Happy
Prelude;Saros;Not Happy
Soul And Fire;Sebadoh;Not Happy
Set Fire To The City;Shane Jackman;Not Happy
New Slang;Shins;Not Happy
Hollow Earth;Shiva In Exile;Not Happy
